tituloProduto,preco,descricao,imgProduto,catProduto,classProduto,exibirHome
Estilete,90,Estilete com lâminas de reposição.,Estilete.jpg,Ferramentas Manuais,Novo,True
Chave Allen,70,"Chave Allen em conjunto, 10 peças.",Chave Allen.jpg,Ferramentas Manuais,Novo,True
Rosqueadeira,85,Rosqueadeira para tubos de PVC.,Rosqueadeira.jpg,Ferramentas Manuais,Novo,True
Saca-rolhas,100,Saca-rolhas manual com cortador de lacre.,Saca-rolhas.jpg,Ferramentas Manuais,Novo,True
Desempenadeira,60,Desempenadeira de aço inox.,Desempenadeira.jpg,Ferramentas Manuais,Novo,True
Rebitador,75,Rebitador manual para chapas de metal.,Rebitador.jpg,Ferramentas Elétricas,Novo,True
Estante de Ferramentas,90,"Estante de ferramentas em metal, 3 prateleiras.",Estante de Ferramentas.jpg,Ferramentas Elétricas,Novo,True
Cinta Métrica,130,Cinta métrica de 10 metros com clipe para bolso.,Cinta Métrica.jpg,Ferramentas Elétricas,Novo,True
Mecanismo de Fechadura,150,Mecanismo de fechadura de alta segurança.,Mecanismo de Fechadura.jpg,Ferramentas Elétricas,Novo,True
Pistola de Cola Quente,95,Pistola de cola quente com 20 bastões inclusos.,Pistola de Cola Quente.jpg,Ferramentas Manuais,Novo,True
Régua de Alumínio,15,"Régua de alumínio, 1 metro.",Régua de Alumínio.jpg,Ferramentas Manuais,Novo,True
Cortador de Papel,25,Cortador de papel com lâmina afiada.,Cortador de Papel.jpg,Ferramentas Manuais,Novo,True
Caixa de Ferramentas,30,Caixa de ferramentas com divisórias.,Caixa de Ferramentas.jpg,Ferramentas Manuais,Novo,True
Martelo de Borracha,35,"Martelo de borracha, ideal para montagem de móveis.",Martelo de Borracha.jpg,Ferramentas Manuais,Novo,True
Parafuso,15,"Parafuso em aço, 100 peças.",Parafuso.jpg,Ferramentas Manuais,Novo,True
Prego,20,"Prego em aço, 100 peças.",Prego.jpg,Ferramentas Manuais,Novo,True
Serra de Madeira,100,Serra de madeira com lâmina de 18 polegadas.,Serra de Madeira.jpg,Ferramentas Elétricas,Novo,True
Corta Cabos,45,Corta Cabos.,Corta Cabos.jpg,Ferramentas Elétricas,Novo,True
